2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_co_lvl2/10_mean            131 us          131 us          100 items_per_second=7.61244k/s
BM_gao_additive_fft_co_lvl2/10_median          131 us          131 us          100 items_per_second=7.62268k/s
BM_gao_additive_fft_co_lvl2/10_stddev        0.755 us        0.755 us          100 items_per_second=43.7454/s
BM_gao_additive_fft_co_lvl2/10_cv             0.57 %          0.57 %           100 items_per_second=0.57%
BM_gao_additive_fft_co_lvl2/11_mean            303 us          303 us          100 items_per_second=3.30227k/s
BM_gao_additive_fft_co_lvl2/11_median          303 us          303 us          100 items_per_second=3.30396k/s
BM_gao_additive_fft_co_lvl2/11_stddev        0.827 us        0.827 us          100 items_per_second=9.00854/s
BM_gao_additive_fft_co_lvl2/11_cv             0.27 %          0.27 %           100 items_per_second=0.27%
BM_gao_additive_fft_co_lvl2/12_mean            684 us          684 us          100 items_per_second=1.46289k/s
BM_gao_additive_fft_co_lvl2/12_median          683 us          683 us          100 items_per_second=1.46482k/s
BM_gao_additive_fft_co_lvl2/12_stddev         2.54 us         2.54 us          100 items_per_second=5.38984/s
BM_gao_additive_fft_co_lvl2/12_cv             0.37 %          0.37 %           100 items_per_second=0.37%
BM_gao_additive_fft_co_lvl2/13_mean           1551 us         1551 us          100 items_per_second=644.953/s
BM_gao_additive_fft_co_lvl2/13_median         1550 us         1550 us          100 items_per_second=645.182/s
BM_gao_additive_fft_co_lvl2/13_stddev         2.68 us         2.67 us          100 items_per_second=1.11051/s
BM_gao_additive_fft_co_lvl2/13_cv             0.17 %          0.17 %           100 items_per_second=0.17%
BM_gao_additive_fft_co_lvl2/14_mean           3532 us         3532 us          100 items_per_second=283.152/s
BM_gao_additive_fft_co_lvl2/14_median         3533 us         3532 us          100 items_per_second=283.089/s
BM_gao_additive_fft_co_lvl2/14_stddev         5.72 us         5.71 us          100 items_per_second=0.457629/s
BM_gao_additive_fft_co_lvl2/14_cv             0.16 %          0.16 %           100 items_per_second=0.16%
BM_gao_additive_fft_co_lvl2/15_mean           7836 us         7836 us          100 items_per_second=127.612/s
BM_gao_additive_fft_co_lvl2/15_median         7837 us         7836 us          100 items_per_second=127.609/s
BM_gao_additive_fft_co_lvl2/15_stddev         15.7 us         15.7 us          100 items_per_second=0.254792/s
BM_gao_additive_fft_co_lvl2/15_cv             0.20 %          0.20 %           100 items_per_second=0.20%
BM_gao_additive_fft_co_lvl2/16_mean          17265 us        17265 us          100 items_per_second=57.922/s
BM_gao_additive_fft_co_lvl2/16_median        17257 us        17257 us          100 items_per_second=57.9461/s
BM_gao_additive_fft_co_lvl2/16_stddev         47.2 us         47.2 us          100 items_per_second=0.156382/s
BM_gao_additive_fft_co_lvl2/16_cv             0.27 %          0.27 %           100 items_per_second=0.27%
BM_gao_additive_fft_co_lvl2/17_mean          38197 us        38195 us          100 items_per_second=26.1816/s
BM_gao_additive_fft_co_lvl2/17_median        38192 us        38191 us          100 items_per_second=26.1843/s
BM_gao_additive_fft_co_lvl2/17_stddev         50.8 us         50.8 us          100 items_per_second=0.0348077/s
BM_gao_additive_fft_co_lvl2/17_cv             0.13 %          0.13 %           100 items_per_second=0.13%
BM_gao_additive_fft_co_lvl2/18_mean          97525 us        97521 us          100 items_per_second=10.2555/s
BM_gao_additive_fft_co_lvl2/18_median        97329 us        97326 us          100 items_per_second=10.2748/s
BM_gao_additive_fft_co_lvl2/18_stddev         1101 us         1100 us          100 items_per_second=0.115642/s
BM_gao_additive_fft_co_lvl2/18_cv             1.13 %          1.13 %           100 items_per_second=1.13%
BM_gao_additive_fft_co_lvl2/19_mean         293818 us       293801 us          100 items_per_second=3.40535/s
BM_gao_additive_fft_co_lvl2/19_median       292086 us       292067 us          100 items_per_second=3.42387/s
BM_gao_additive_fft_co_lvl2/19_stddev         6573 us         6573 us          100 items_per_second=0.0759422/s
BM_gao_additive_fft_co_lvl2/19_cv             2.24 %          2.24 %           100 items_per_second=2.23%
BM_gao_additive_fft_co_lvl2/20_mean         735234 us       735188 us          100 items_per_second=1.36031/s
BM_gao_additive_fft_co_lvl2/20_median       736178 us       736132 us          100 items_per_second=1.35845/s
BM_gao_additive_fft_co_lvl2/20_stddev         6694 us         6693 us          100 items_per_second=0.0124184/s
BM_gao_additive_fft_co_lvl2/20_cv             0.91 %          0.91 %           100 items_per_second=0.91%
BM_cantor_additive_fft/5_mean                 2.49 us         2.49 us          100 items_per_second=401.737k/s
BM_cantor_additive_fft/5_median               2.49 us         2.49 us          100 items_per_second=401.841k/s
BM_cantor_additive_fft/5_stddev              0.002 us        0.002 us          100 items_per_second=375.651/s
BM_cantor_additive_fft/5_cv                   0.09 %          0.09 %           100 items_per_second=0.09%
BM_cantor_additive_fft/6_mean                 5.55 us         5.55 us          100 items_per_second=180.068k/s
BM_cantor_additive_fft/6_median               5.57 us         5.57 us          100 items_per_second=179.636k/s
BM_cantor_additive_fft/6_stddev              0.063 us        0.063 us          100 items_per_second=2.0526k/s
BM_cantor_additive_fft/6_cv                   1.14 %          1.14 %           100 items_per_second=1.14%
BM_cantor_additive_fft/7_mean                 12.1 us         12.1 us          100 items_per_second=82.3812k/s
BM_cantor_additive_fft/7_median               12.1 us         12.1 us          100 items_per_second=82.5459k/s
BM_cantor_additive_fft/7_stddev              0.193 us        0.193 us          100 items_per_second=1.25302k/s
BM_cantor_additive_fft/7_cv                   1.59 %          1.59 %           100 items_per_second=1.52%
BM_cantor_additive_fft/8_mean                 28.0 us         28.0 us          100 items_per_second=35.7276k/s
BM_cantor_additive_fft/8_median               28.0 us         28.0 us          100 items_per_second=35.7016k/s
BM_cantor_additive_fft/8_stddev              0.170 us        0.170 us          100 items_per_second=217.222/s
BM_cantor_additive_fft/8_cv                   0.61 %          0.61 %           100 items_per_second=0.61%
BM_cantor_additive_fft/9_mean                 65.8 us         65.8 us          100 items_per_second=15.1956k/s
BM_cantor_additive_fft/9_median               65.9 us         65.9 us          100 items_per_second=15.1706k/s
BM_cantor_additive_fft/9_stddev              0.561 us        0.561 us          100 items_per_second=129.477/s
BM_cantor_additive_fft/9_cv                   0.85 %          0.85 %           100 items_per_second=0.85%
BM_cantor_additive_fft/10_mean                 152 us          152 us          100 items_per_second=6.59067k/s
BM_cantor_additive_fft/10_median               152 us          152 us          100 items_per_second=6.58823k/s
BM_cantor_additive_fft/10_stddev             0.378 us        0.378 us          100 items_per_second=16.4747/s
BM_cantor_additive_fft/10_cv                  0.25 %          0.25 %           100 items_per_second=0.25%
BM_cantor_additive_fft/11_mean                 332 us          332 us          100 items_per_second=3.01097k/s
BM_cantor_additive_fft/11_median               331 us          331 us          100 items_per_second=3.01871k/s
BM_cantor_additive_fft/11_stddev              2.25 us         2.25 us          100 items_per_second=20.2853/s
BM_cantor_additive_fft/11_cv                  0.68 %          0.68 %           100 items_per_second=0.67%
BM_cantor_additive_fft/12_mean                 732 us          732 us          100 items_per_second=1.36576k/s
BM_cantor_additive_fft/12_median               732 us          732 us          100 items_per_second=1.36643k/s
BM_cantor_additive_fft/12_stddev              4.02 us         4.02 us          100 items_per_second=7.48197/s
BM_cantor_additive_fft/12_cv                  0.55 %          0.55 %           100 items_per_second=0.55%
BM_cantor_additive_fft/13_mean                1564 us         1564 us          100 items_per_second=639.391/s
BM_cantor_additive_fft/13_median              1562 us         1562 us          100 items_per_second=640.047/s
BM_cantor_additive_fft/13_stddev              8.74 us         8.74 us          100 items_per_second=3.56318/s
BM_cantor_additive_fft/13_cv                  0.56 %          0.56 %           100 items_per_second=0.56%
BM_cantor_additive_fft/14_mean                3395 us         3395 us          100 items_per_second=294.551/s
BM_cantor_additive_fft/14_median              3395 us         3395 us          100 items_per_second=294.519/s
BM_cantor_additive_fft/14_stddev              11.7 us         11.7 us          100 items_per_second=1.01768/s
BM_cantor_additive_fft/14_cv                  0.35 %          0.35 %           100 items_per_second=0.35%
BM_cantor_additive_fft/15_mean                7328 us         7328 us          100 items_per_second=136.47/s
BM_cantor_additive_fft/15_median              7331 us         7331 us          100 items_per_second=136.398/s
BM_cantor_additive_fft/15_stddev              30.7 us         30.7 us          100 items_per_second=0.572715/s
BM_cantor_additive_fft/15_cv                  0.42 %          0.42 %           100 items_per_second=0.42%
BM_cantor_additive_fft/16_mean               16568 us        16567 us          100 items_per_second=60.3603/s
BM_cantor_additive_fft/16_median             16556 us        16555 us          100 items_per_second=60.4033/s
BM_cantor_additive_fft/16_stddev              61.2 us         61.2 us          100 items_per_second=0.222478/s
BM_cantor_additive_fft/16_cv                  0.37 %          0.37 %           100 items_per_second=0.37%
BM_cantor_additive_fft/17_mean               35029 us        35028 us          100 items_per_second=28.5491/s
BM_cantor_additive_fft/17_median             35038 us        35036 us          100 items_per_second=28.5423/s
BM_cantor_additive_fft/17_stddev               115 us          115 us          100 items_per_second=0.0933624/s
BM_cantor_additive_fft/17_cv                  0.33 %          0.33 %           100 items_per_second=0.33%
BM_cantor_additive_fft/18_mean               77986 us        77983 us          100 items_per_second=12.8241/s
BM_cantor_additive_fft/18_median             78059 us        78056 us          100 items_per_second=12.8112/s
BM_cantor_additive_fft/18_stddev               586 us          586 us          100 items_per_second=0.0972831/s
BM_cantor_additive_fft/18_cv                  0.75 %          0.75 %           100 items_per_second=0.76%
BM_cantor_additive_fft/19_mean              174781 us       174771 us          100 items_per_second=5.72286/s
BM_cantor_additive_fft/19_median            175354 us       175338 us          100 items_per_second=5.70326/s
BM_cantor_additive_fft/19_stddev              2396 us         2395 us          100 items_per_second=0.0800026/s
BM_cantor_additive_fft/19_cv                  1.37 %          1.37 %           100 items_per_second=1.40%
BM_cantor_additive_fft/20_mean              371723 us       371701 us          100 items_per_second=2.69034/s
BM_cantor_additive_fft/20_median            371621 us       371603 us          100 items_per_second=2.69105/s
BM_cantor_additive_fft/20_stddev               425 us          434 us          100 items_per_second=3.13886m/s
BM_cantor_additive_fft/20_cv                  0.11 %          0.12 %           100 items_per_second=0.12%
BM_cantor_additive_fft_precmp/5_mean          1.82 us         1.82 us          100 items_per_second=548.596k/s
BM_cantor_additive_fft_precmp/5_median        1.82 us         1.82 us          100 items_per_second=548.63k/s
BM_cantor_additive_fft_precmp/5_stddev       0.002 us        0.002 us          100 items_per_second=486.357/s
BM_cantor_additive_fft_precmp/5_cv            0.09 %          0.09 %           100 items_per_second=0.09%
BM_cantor_additive_fft_precmp/6_mean          4.18 us         4.18 us          100 items_per_second=239.382k/s
BM_cantor_additive_fft_precmp/6_median        4.18 us         4.18 us          100 items_per_second=239.318k/s
BM_cantor_additive_fft_precmp/6_stddev       0.015 us        0.015 us          100 items_per_second=855.809/s
BM_cantor_additive_fft_precmp/6_cv            0.35 %          0.35 %           100 items_per_second=0.36%
BM_cantor_additive_fft_precmp/7_mean          9.59 us         9.59 us          100 items_per_second=104.313k/s
BM_cantor_additive_fft_precmp/7_median        9.57 us         9.57 us          100 items_per_second=104.524k/s
BM_cantor_additive_fft_precmp/7_stddev       0.050 us        0.050 us          100 items_per_second=535.54/s
BM_cantor_additive_fft_precmp/7_cv            0.52 %          0.52 %           100 items_per_second=0.51%
BM_cantor_additive_fft_precmp/8_mean          22.7 us         22.7 us          100 items_per_second=44.1216k/s
BM_cantor_additive_fft_precmp/8_median        22.6 us         22.6 us          100 items_per_second=44.1748k/s
BM_cantor_additive_fft_precmp/8_stddev       0.265 us        0.264 us          100 items_per_second=513.97/s
BM_cantor_additive_fft_precmp/8_cv            1.17 %          1.17 %           100 items_per_second=1.16%
BM_cantor_additive_fft_precmp/9_mean          49.9 us         49.9 us          100 items_per_second=20.0557k/s
BM_cantor_additive_fft_precmp/9_median        50.0 us         50.0 us          100 items_per_second=19.9956k/s
BM_cantor_additive_fft_precmp/9_stddev       0.270 us        0.270 us          100 items_per_second=108.148/s
BM_cantor_additive_fft_precmp/9_cv            0.54 %          0.54 %           100 items_per_second=0.54%
BM_cantor_additive_fft_precmp/10_mean          111 us          111 us          100 items_per_second=9.04648k/s
BM_cantor_additive_fft_precmp/10_median        111 us          111 us          100 items_per_second=9.02182k/s
BM_cantor_additive_fft_precmp/10_stddev      0.718 us        0.718 us          100 items_per_second=58.8799/s
BM_cantor_additive_fft_precmp/10_cv           0.65 %          0.65 %           100 items_per_second=0.65%
BM_cantor_additive_fft_precmp/11_mean          244 us          244 us          100 items_per_second=4.10297k/s
BM_cantor_additive_fft_precmp/11_median        243 us          243 us          100 items_per_second=4.10947k/s
BM_cantor_additive_fft_precmp/11_stddev       1.04 us         1.04 us          100 items_per_second=17.4527/s
BM_cantor_additive_fft_precmp/11_cv           0.43 %          0.43 %           100 items_per_second=0.43%
BM_cantor_additive_fft_precmp/12_mean          545 us          545 us          100 items_per_second=1.83552k/s
BM_cantor_additive_fft_precmp/12_median        545 us          545 us          100 items_per_second=1.83349k/s
BM_cantor_additive_fft_precmp/12_stddev       3.08 us         3.08 us          100 items_per_second=10.3903/s
BM_cantor_additive_fft_precmp/12_cv           0.57 %          0.57 %           100 items_per_second=0.57%
BM_cantor_additive_fft_precmp/13_mean         1183 us         1183 us          100 items_per_second=845.614/s
BM_cantor_additive_fft_precmp/13_median       1185 us         1185 us          100 items_per_second=843.815/s
BM_cantor_additive_fft_precmp/13_stddev       6.03 us         6.03 us          100 items_per_second=4.31394/s
BM_cantor_additive_fft_precmp/13_cv           0.51 %          0.51 %           100 items_per_second=0.51%
BM_cantor_additive_fft_precmp/14_mean         2587 us         2587 us          100 items_per_second=386.558/s
BM_cantor_additive_fft_precmp/14_median       2589 us         2589 us          100 items_per_second=386.311/s
BM_cantor_additive_fft_precmp/14_stddev       8.15 us         8.15 us          100 items_per_second=1.21969/s
BM_cantor_additive_fft_precmp/14_cv           0.32 %          0.32 %           100 items_per_second=0.32%
BM_cantor_additive_fft_precmp/15_mean         5634 us         5634 us          100 items_per_second=177.504/s
BM_cantor_additive_fft_precmp/15_median       5635 us         5635 us          100 items_per_second=177.461/s
BM_cantor_additive_fft_precmp/15_stddev       18.1 us         18.1 us          100 items_per_second=0.56789/s
BM_cantor_additive_fft_precmp/15_cv           0.32 %          0.32 %           100 items_per_second=0.32%
BM_cantor_additive_fft_precmp/16_mean        12961 us        12960 us          100 items_per_second=77.1596/s
BM_cantor_additive_fft_precmp/16_median      12943 us        12942 us          100 items_per_second=77.265/s
BM_cantor_additive_fft_precmp/16_stddev       37.5 us         37.5 us          100 items_per_second=0.221632/s
BM_cantor_additive_fft_precmp/16_cv           0.29 %          0.29 %           100 items_per_second=0.29%
BM_cantor_additive_fft_precmp/17_mean        27558 us        27557 us          100 items_per_second=36.2889/s
BM_cantor_additive_fft_precmp/17_median      27557 us        27556 us          100 items_per_second=36.2894/s
BM_cantor_additive_fft_precmp/17_stddev       70.9 us         70.5 us          100 items_per_second=0.092825/s
BM_cantor_additive_fft_precmp/17_cv           0.26 %          0.26 %           100 items_per_second=0.26%
BM_cantor_additive_fft_precmp/18_mean        62300 us        62295 us          100 items_per_second=16.0538/s
BM_cantor_additive_fft_precmp/18_median      62293 us        62290 us          100 items_per_second=16.0541/s
BM_cantor_additive_fft_precmp/18_stddev        557 us          556 us          100 items_per_second=0.144165/s
BM_cantor_additive_fft_precmp/18_cv           0.89 %          0.89 %           100 items_per_second=0.90%
BM_cantor_additive_fft_precmp/19_mean       138885 us       138873 us          100 items_per_second=7.20409/s
BM_cantor_additive_fft_precmp/19_median     139084 us       139076 us          100 items_per_second=7.19034/s
BM_cantor_additive_fft_precmp/19_stddev       2984 us         2984 us          100 items_per_second=0.154334/s
BM_cantor_additive_fft_precmp/19_cv           2.15 %          2.15 %           100 items_per_second=2.14%
BM_cantor_additive_fft_precmp/20_mean       306167 us       306141 us          100 items_per_second=3.26647/s
BM_cantor_additive_fft_precmp/20_median     306132 us       306099 us          100 items_per_second=3.26692/s
BM_cantor_additive_fft_precmp/20_stddev        359 us          360 us          100 items_per_second=3.82791m/s
BM_cantor_additive_fft_precmp/20_cv           0.12 %          0.12 %           100 items_per_second=0.12%

