2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_lvl1/5_cv                 0.59 %          0.59 %           100 items_per_second=0.58%
BM_gao_additive_fft_lvl1/6_mean               11.2 us         11.2 us          100 items_per_second=89.1088k/s
BM_gao_additive_fft_lvl1/6_median             11.3 us         11.3 us          100 items_per_second=88.5014k/s
BM_gao_additive_fft_lvl1/6_stddev            0.128 us        0.128 us          100 items_per_second=1.02572k/s
BM_gao_additive_fft_lvl1/6_cv                 1.14 %          1.14 %           100 items_per_second=1.15%
BM_gao_additive_fft_lvl1/7_mean               25.5 us         25.5 us          100 items_per_second=39.1514k/s
BM_gao_additive_fft_lvl1/7_median             25.5 us         25.5 us          100 items_per_second=39.154k/s
BM_gao_additive_fft_lvl1/7_stddev            0.058 us        0.058 us          100 items_per_second=89.3333/s
BM_gao_additive_fft_lvl1/7_cv                 0.23 %          0.23 %           100 items_per_second=0.23%
BM_gao_additive_fft_lvl1/8_mean               57.3 us         57.3 us          100 items_per_second=17.4512k/s
BM_gao_additive_fft_lvl1/8_median             57.3 us         57.3 us          100 items_per_second=17.4404k/s
BM_gao_additive_fft_lvl1/8_stddev            0.188 us        0.188 us          100 items_per_second=57.5224/s
BM_gao_additive_fft_lvl1/8_cv                 0.33 %          0.33 %           100 items_per_second=0.33%
BM_gao_additive_fft_lvl1/9_mean                128 us          128 us          100 items_per_second=7.79641k/s
BM_gao_additive_fft_lvl1/9_median              128 us          128 us          100 items_per_second=7.82001k/s
BM_gao_additive_fft_lvl1/9_stddev            0.668 us        0.668 us          100 items_per_second=40.5434/s
BM_gao_additive_fft_lvl1/9_cv                 0.52 %          0.52 %           100 items_per_second=0.52%
BM_gao_additive_fft_lvl1/10_mean               285 us          285 us          100 items_per_second=3.50995k/s
BM_gao_additive_fft_lvl1/10_median             284 us          284 us          100 items_per_second=3.52578k/s
BM_gao_additive_fft_lvl1/10_stddev            1.95 us         1.95 us          100 items_per_second=23.8868/s
BM_gao_additive_fft_lvl1/10_cv                0.68 %          0.68 %           100 items_per_second=0.68%
BM_gao_additive_fft_lvl1/11_mean               635 us          635 us          100 items_per_second=1.5737k/s
BM_gao_additive_fft_lvl1/11_median             636 us          636 us          100 items_per_second=1.57355k/s
BM_gao_additive_fft_lvl1/11_stddev           0.640 us        0.639 us          100 items_per_second=1.58405/s
BM_gao_additive_fft_lvl1/11_cv                0.10 %          0.10 %           100 items_per_second=0.10%
BM_gao_additive_fft_lvl1/12_mean              1406 us         1406 us          100 items_per_second=710.998/s
BM_gao_additive_fft_lvl1/12_median            1407 us         1407 us          100 items_per_second=710.806/s
BM_gao_additive_fft_lvl1/12_stddev            3.27 us         3.27 us          100 items_per_second=1.65331/s
BM_gao_additive_fft_lvl1/12_cv                0.23 %          0.23 %           100 items_per_second=0.23%
BM_gao_additive_fft_lvl1/13_mean              3095 us         3095 us          100 items_per_second=323.134/s
BM_gao_additive_fft_lvl1/13_median            3092 us         3092 us          100 items_per_second=323.399/s
BM_gao_additive_fft_lvl1/13_stddev            6.27 us         6.27 us          100 items_per_second=0.653544/s
BM_gao_additive_fft_lvl1/13_cv                0.20 %          0.20 %           100 items_per_second=0.20%
BM_gao_additive_fft_lvl1/14_mean              6843 us         6843 us          100 items_per_second=146.129/s
BM_gao_additive_fft_lvl1/14_median            6845 us         6845 us          100 items_per_second=146.088/s
BM_gao_additive_fft_lvl1/14_stddev            7.27 us         7.26 us          100 items_per_second=0.155074/s
BM_gao_additive_fft_lvl1/14_cv                0.11 %          0.11 %           100 items_per_second=0.11%
BM_gao_additive_fft_lvl1/15_mean             14911 us        14911 us          100 items_per_second=67.0668/s
BM_gao_additive_fft_lvl1/15_median           14846 us        14846 us          100 items_per_second=67.3602/s
BM_gao_additive_fft_lvl1/15_stddev             110 us          110 us          100 items_per_second=0.491489/s
BM_gao_additive_fft_lvl1/15_cv                0.74 %          0.74 %           100 items_per_second=0.73%
BM_gao_additive_fft_lvl1/16_mean             32151 us        32150 us          100 items_per_second=31.104/s
BM_gao_additive_fft_lvl1/16_median           32156 us        32155 us          100 items_per_second=31.0992/s
BM_gao_additive_fft_lvl1/16_stddev            44.7 us         44.5 us          100 items_per_second=0.0430379/s
BM_gao_additive_fft_lvl1/16_cv                0.14 %          0.14 %           100 items_per_second=0.14%
BM_gao_additive_fft_lvl1/17_mean             69501 us        69500 us          100 items_per_second=14.3885/s
BM_gao_additive_fft_lvl1/17_median           69503 us        69500 us          100 items_per_second=14.3886/s
BM_gao_additive_fft_lvl1/17_stddev            66.6 us         66.5 us          100 items_per_second=0.0137728/s
BM_gao_additive_fft_lvl1/17_cv                0.10 %          0.10 %           100 items_per_second=0.10%
BM_gao_additive_fft_lvl1/18_mean            162889 us       162883 us          100 items_per_second=6.13942/s
BM_gao_additive_fft_lvl1/18_median          162922 us       162918 us          100 items_per_second=6.13804/s
BM_gao_additive_fft_lvl1/18_stddev             432 us          431 us          100 items_per_second=0.0162418/s
BM_gao_additive_fft_lvl1/18_cv                0.26 %          0.26 %           100 items_per_second=0.26%
BM_gao_additive_fft_lvl1/19_mean            434162 us       434139 us          100 items_per_second=2.30405/s
BM_gao_additive_fft_lvl1/19_median          430012 us       429993 us          100 items_per_second=2.32562/s
BM_gao_additive_fft_lvl1/19_stddev            7324 us         7325 us          100 items_per_second=0.038474/s
BM_gao_additive_fft_lvl1/19_cv                1.69 %          1.69 %           100 items_per_second=1.67%
BM_gao_additive_fft_lvl1/20_mean           1037579 us      1037518 us          100 items_per_second=0.963905/s
BM_gao_additive_fft_lvl1/20_median         1041362 us      1041340 us          100 items_per_second=0.960301/s
